ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Family_Size,Total_Children,Total_Spending,Total_Purchases,Total_Campaigns_Accepted,Customer_Tenure_Days,Cluster,PCA1,PCA2
1000,1962,PhD,Together,91182.32,1,0,2012-11-23,28,568,31,297,110,87,114,0,5,6,9,3,0,1,0,1,0,0,1,53,3,1,1207,20,3,734,0,3.237954587699041,-0.1301471731384588
1001,1971,2n Cycle,Together,32486.62,0,1,2012-08-02,62,34,0,44,0,6,25,2,0,0,0,6,0,0,0,0,0,1,0,44,3,1,109,2,0,847,2,-2.293032288427729,-1.3556656791235104
1002,1975,2n Cycle,Single,46007.23,0,0,2013-09-13,47,69,17,10,20,16,19,3,2,0,1,2,0,0,0,0,0,0,0,40,1,0,151,6,0,440,2,-1.1495939821325423,-1.0267837424964235
1003,1963,Master,Divorced,43183.38,0,0,2013-06-15,21,377,34,269,48,21,68,0,1,0,5,5,0,0,0,0,0,0,0,52,1,0,817,6,0,530,3,0.11436457646276564,-1.4061169169368195
1004,1972,Graduation,Widow,29305.8,0,1,2013-09-11,59,14,0,44,13,0,1,1,3,0,2,2,0,0,0,0,0,0,0,43,2,1,72,6,0,442,2,-1.41780261391711,-1.5227858118317448
1005,1946,Master,Divorced,57942.1,0,2,2014-07-05,46,414,21,164,51,13,25,1,0,3,5,4,0,0,0,0,0,0,0,69,3,2,688,9,0,145,3,0.47264066618257333,-1.5178936253183013
1006,1961,Master,Married,68134.52,0,1,2013-06-08,14,271,57,266,69,40,74,2,4,2,11,3,0,0,0,0,1,0,0,54,3,1,777,19,1,537,3,1.9381423491464336,-0.20222131483477016
1007,1965,PhD,Together,110777.35,1,0,2013-05-23,14,782,66,219,105,38,65,0,3,8,11,2,0,1,0,0,0,0,0,50,3,1,1275,22,1,553,0,4.5565916028073845,-0.5306651769707734
1008,1983,2n Cycle,Together,51279.32,0,0,2013-02-23,35,144,19,69,27,13,25,7,5,1,6,7,0,0,1,0,0,0,0,32,2,0,297,19,1,642,1,-0.8579842720560857,1.7280487667107565
1009,1993,Graduation,Married,53378.76,2,0,2014-03-11,19,197,28,37,28,4,37,4,7,1,3,8,0,0,0,0,0,0,0,22,4,2,331,15,0,261,1,-0.7744689787333515,1.779222813272963
