ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1000,1962,PhD,Together,91182.32,1,0,23-11-2012,28,568,31,297,110,87,114,0,5,6,9,3,0,1,0,1,0,0,1
1001,1971,2n Cycle,Together,32486.62,0,1,02-08-2012,62,34,0,44,0,6,25,2,0,0,0,6,0,0,0,0,0,1,0
1002,1975,2n Cycle,Single,46007.23,0,0,13-09-2013,47,69,17,10,20,16,19,3,2,0,1,2,0,0,0,0,0,0,0
1003,1963,Master,Divorced,43183.38,0,0,15-06-2013,21,377,34,269,48,21,68,0,1,0,5,5,0,0,0,0,0,0,0
1004,1972,Graduation,Widow,29305.8,0,1,11-09-2013,59,14,0,44,13,0,1,1,3,0,2,2,0,0,0,0,0,0,0
1005,1946,Master,Divorced,57942.1,0,2,05-07-2014,46,414,21,164,51,13,25,1,0,3,5,4,0,0,0,0,0,0,0
1006,1961,Master,Married,68134.52,0,1,08-06-2013,14,271,57,266,69,40,74,2,4,2,11,3,0,0,0,0,1,0,0
1007,1965,PhD,Together,110777.35,1,0,23-05-2013,14,782,66,219,105,38,65,0,3,8,11,2,0,1,0,0,0,0,0
1008,1983,2n Cycle,Together,51279.32,0,0,23-02-2013,35,144,19,69,27,13,25,7,5,1,6,7,0,0,1,0,0,0,0
1009,1993,Graduation,Married,53378.76,2,0,11-03-2014,19,197,28,37,28,4,37,4,7,1,3,8,0,0,0,0,0,0,0
1010,1974,Graduation,Widow,57557.87,0,0,09-01-2014,24,383,22,128,25,33,14,2,1,2,5,2,0,0,1,0,0,0,0
1011,2000,Graduation,Together,24112.9,1,1,07-10-2014,51,0,1,47,9,1,0,1,2,1,3,5,0,0,0,0,0,0,0
1012,1981,Master,Divorced,37248.42,0,0,04-08-2013,62,57,0,42,24,40,18,2,10,1,3,5,0,0,0,0,0,0,0
1013,1954,Master,Married,81763.63,1,0,24-07-2012,1,987,86,504,97,71,164,2,6,6,8,4,1,0,1,0,0,0,1
1014,1985,Graduation,Divorced,38703.21,1,1,03-05-2013,0,141,8,108,5,12,36,5,8,0,1,7,0,0,0,0,0,0,0
1015,1987,Graduation,Divorced,29487.22,1,1,14-01-2014,21,47,0,52,13,9,16,1,0,0,1,7,0,0,0,0,0,0,0
1016,1964,Basic,Married,78921.92,0,1,19-10-2013,13,406,47,434,87,55,83,1,7,4,8,5,1,0,1,0,1,0,0
1017,1996,Master,Together,26622.33,1,0,03-09-2012,75,80,20,67,0,19,22,6,10,2,2,8,0,0,0,0,0,0,0
1018,1960,Graduation,Married,16830.4,0,0,14-09-2014,21,71,10,19,22,4,5,2,2,0,5,9,0,0,0,0,0,0,0
1019,1955,Master,Together,69570.67,0,1,20-07-2014,20,392,46,548,89,82,133,0,7,9,4,0,1,0,1,1,0,0,1
1020,1960,PhD,Married,57113.85,0,2,15-04-2014,41,244,22,149,56,32,65,5,4,2,3,2,0,0,0,1,0,0,1
1021,1988,PhD,Widow,33893.52,1,0,24-03-2013,97,22,2,52,9,4,33,2,2,0,3,6,0,0,0,0,0,0,0
1022,1993,Master,Single,47737.45,0,0,19-01-2014,64,119,6,44,13,25,46,1,6,1,7,4,0,0,1,0,0,0,0
1023,1970,Master,Together,43746.83,0,0,26-01-2014,29,352,17,112,44,56,55,1,1,3,9,3,1,0,1,0,0,0,1
1024,1955,Graduation,Single,27613.52,0,0,22-06-2014,66,28,0,1,19,4,36,1,0,1,2,2,0,0,0,0,0,0,0
1025,1971,Graduation,Single,69849.41,0,0,19-02-2013,21,421,52,428,33,38,107,0,3,4,5,4,0,1,0,1,0,1,1
1026,1962,Basic,Divorced,48243.7,1,1,25-07-2012,42,354,35,125,7,27,32,3,5,1,7,6,0,0,1,0,0,0,0
